Pesel,Przedmiot,Wynik,Data_matury
91040537171,Matematyka,78,2027-05-3
95020394703,Jezyk polski,99,2027-05-1
95020394703,Jezyk angielski,76,2027-05-2
95020394703,Matematyka,88,2027-05-3
91021872664,Jezyk polski,34,2027-05-1
91021872664,Jezyk angielski,86,2027-05-2
91021872664,Matematyka,85,2027-05-3
98051014640,Jezyk polski,24,2027-05-1
98051014640,Jezyk angielski,46,2027-05-2
98051014640,Matematyka,80,2027-05-3
91040207362,Jezyk polski,79,2027-05-1
91040207362,Jezyk angielski,44,2027-05-2
91040207362,Matematyka,90,2027-05-3
93041617779,Jezyk polski,94,2027-05-1
93041617779,Jezyk angielski,100,2027-05-2
93041617779,Matematyka,84,2027-05-3
96021724119,Jezyk polski,73,2027-05-1
96021724119,Jezyk angielski,88,2027-05-2
96021724119,Matematyka,68,2027-05-3
95041360695,Jezyk polski,71,2027-05-1
95041360695,Jezyk angielski,74,2027-05-2
95041360695,Matematyka,87,2027-05-3
97070158199,Jezyk polski,70,2027-05-1
97070158199,Jezyk angielski,73,2027-05-2
97070158199,Matematyka,72,2027-05-3
90050356770,Jezyk polski,84,2027-05-1
90050356770,Jezyk angielski,85,2027-05-2
90050356770,Matematyka,79,2027-05-3
99061958067,Jezyk polski,67,2027-05-1
99061958067,Jezyk angielski,77,2027-05-2
99061958067,Matematyka,87,2027-05-3
94112306800,Jezyk polski,23,2027-05-1
94112306800,Jezyk angielski,66,2027-05-2
94112306800,Matematyka,72,2027-05-3
91101563686,Jezyk polski,74,2027-05-1
91101563686,Jezyk angielski,27,2027-05-2
91101563686,Matematyka,83,2027-05-3
91110727424,Jezyk polski,82,2027-05-1
91110727424,Jezyk angielski,74,2027-05-2
91110727424,Matematyka,93,2027-05-3
97061995659,Jezyk polski,83,2027-05-1
97061995659,Jezyk angielski,34,2027-05-2
97061995659,Matematyka,66,2027-05-3
92011218468,Jezyk polski,42,2027-05-1
92011218468,Jezyk angielski,97,2027-05-2
92011218468,Matematyka,75,2027-05-3
98042816868,Jezyk polski,71,2027-05-1
98042816868,Jezyk angielski,53,2027-05-2
98042816868,Matematyka,72,2027-05-3
97051195928,Jezyk polski,56,2027-05-1
97051195928,Jezyk angielski,71,2027-05-2
97051195928,Matematyka,94,2027-05-3
95021014875,Jezyk polski,96,2027-05-1
95021014875,Jezyk angielski,84,2027-05-2
95021014875,Matematyka,79,2027-05-3
99070515509,Jezyk polski,74,2027-05-1
99070515509,Jezyk angielski,86,2027-05-2
99070515509,Matematyka,85,2027-05-3
99090549160,Jezyk polski,76,2027-05-1
99090549160,Jezyk angielski,75,2027-05-2
99090549160,Matematyka,80,2027-05-3
91101066967,Jezyk polski,86,2027-05-1
91101066967,Jezyk angielski,74,2027-05-2
91101066967,Matematyka,85,2027-05-3
92032423768,Jezyk polski,85,2027-05-1
92032423768,Jezyk angielski,66,2027-05-2
92032423768,Matematyka,37,2027-05-3
94101475692,Jezyk polski,66,2027-05-1
94101475692,Jezyk angielski,84,2027-05-2
94101475692,Matematyka,94,2027-05-3
93061114070,Jezyk polski,42,2027-05-1
93061114070,Jezyk angielski,81,2027-05-2
93061114070,Matematyka,78,2027-05-3
92011836815,Jezyk polski,93,2027-05-1
92011836815,Jezyk angielski,70,2027-05-2
92011836815,Matematyka,78,2027-05-3
94010698199,Jezyk polski,79,2027-05-1
94010698199,Jezyk angielski,71,2027-05-2
94010698199,Matematyka,78,2027-05-3
93081857335,Jezyk polski,60,2027-05-1
93081857335,Jezyk angielski,82,2027-05-2
93081857335,Matematyka,77,2027-05-3
92030458498,Jezyk polski,60,2027-05-1
92030458498,Jezyk angielski,55,2027-05-2
92030458498,Matematyka,84,2027-05-3
90012308511,Jezyk polski,32,2027-05-1
90012308511,Jezyk angielski,92,2027-05-2
90012308511,Matematyka,94,2027-05-3
97072381407,Jezyk polski,79,2027-05-1
97072381407,Jezyk angielski,27,2027-05-2
97072381407,Matematyka,76,2027-05-3
92051231485,Jezyk polski,82,2027-05-1
92051231485,Jezyk angielski,16,2027-05-2
92051231485,Matematyka,74,2027-05-3
92090437855,Jezyk polski,35,2027-05-1
92090437855,Jezyk angielski,24,2027-05-2
92090437855,Matematyka,88,2027-05-3
91050462117,Jezyk polski,89,2027-05-1
91050462117,Jezyk angielski,82,2027-05-2
91050462117,Matematyka,34,2027-05-3
95090943959,Jezyk polski,70,2027-05-1
95090943959,Jezyk angielski,91,2027-05-2
95090943959,Matematyka,97,2027-05-3
94030680138,Jezyk polski,56,2027-05-1
94030680138,Jezyk angielski,98,2027-05-2
94030680138,Matematyka,84,2027-05-3
92100270287,Jezyk polski,77,2027-05-1
92100270287,Jezyk angielski,81,2027-05-2
92100270287,Matematyka,42,2027-05-3
98070210742,Jezyk polski,74,2027-05-1
98070210742,Jezyk angielski,72,2027-05-2
98070210742,Matematyka,86,2027-05-3
92083005869,Jezyk polski,83,2027-05-1
92083005869,Jezyk angielski,82,2027-05-2
92083005869,Matematyka,65,2027-05-3
95111458871,Jezyk polski,89,2027-05-1
95111458871,Jezyk angielski,44,2027-05-2
95111458871,Matematyka,80,2027-05-3
90110172098,Jezyk polski,86,2027-05-1
90110172098,Jezyk angielski,99,2027-05-2
90110172098,Matematyka,99,2027-05-3
96121329157,Jezyk polski,81,2027-05-1
96121329157,Jezyk angielski,65,2027-05-2
96121329157,Matematyka,64,2027-05-3
96031298875,Jezyk polski,81,2027-05-1
96031298875,Jezyk angielski,70,2027-05-2
96031298875,Matematyka,79,2027-05-3
97061680537,Jezyk polski,48,2027-05-1
97061680537,Jezyk angielski,99,2027-05-2
97061680537,Matematyka,71,2027-05-3
93071487892,Jezyk polski,39,2027-05-1
93071487892,Jezyk angielski,59,2027-05-2
93071487892,Matematyka,87,2027-05-3
92052607069,Jezyk polski,76,2027-05-1
92052607069,Jezyk angielski,100,2027-05-2
92052607069,Matematyka,97,2027-05-3
96072262460,Jezyk polski,87,2027-05-1
96072262460,Jezyk angielski,78,2027-05-2
96072262460,Matematyka,86,2027-05-3
99102116698,Jezyk polski,32,2027-05-1
99102116698,Jezyk angielski,58,2027-05-2
99102116698,Matematyka,79,2027-05-3
93061779907,Jezyk polski,85,2027-05-1
93061779907,Jezyk angielski,98,2027-05-2
93061779907,Matematyka,84,2027-05-3
91040435653,Jezyk polski,70,2027-05-1
91040435653,Jezyk angielski,97,2027-05-2
91040435653,Matematyka,88,2027-05-3
96112012192,Jezyk polski,96,2027-05-1
96112012192,Jezyk angielski,82,2027-05-2
96112012192,Matematyka,99,2027-05-3
99121998303,Jezyk polski,99,2027-05-1
99121998303,Jezyk angielski,73,2027-05-2
99121998303,Matematyka,71,2027-05-3
95042565723,Jezyk polski,75,2027-05-1
95042565723,Jezyk angielski,76,2027-05-2
95042565723,Matematyka,78,2027-05-3
96122802264,Jezyk polski,50,2027-05-1
96122802264,Jezyk angielski,82,2027-05-2
96122802264,Matematyka,76,2027-05-3
97122392546,Jezyk polski,70,2027-05-1
97122392546,Jezyk angielski,97,2027-05-2
97122392546,Matematyka,73,2027-05-3
90022745458,Jezyk polski,94,2027-05-1
90022745458,Jezyk angielski,75,2027-05-2
90022745458,Matematyka,98,2027-05-3
97111255366,Jezyk polski,83,2027-05-1
97111255366,Jezyk angielski,99,2027-05-2
97111255366,Matematyka,100,2027-05-3
97062738987,Jezyk polski,62,2027-05-1
97062738987,Jezyk angielski,97,2027-05-2
97062738987,Matematyka,43,2027-05-3
91051624486,Jezyk polski,21,2027-05-1
91051624486,Jezyk angielski,94,2027-05-2
91051624486,Matematyka,73,2027-05-3
91121330903,Jezyk polski,71,2027-05-1
91121330903,Jezyk angielski,87,2027-05-2
91121330903,Matematyka,71,2027-05-3
98050242000,Jezyk polski,48,2027-05-1
98050242000,Jezyk angielski,71,2027-05-2
98050242000,Matematyka,74,2027-05-3
95080710631,Jezyk polski,73,2027-05-1
95080710631,Jezyk angielski,75,2027-05-2
95080710631,Matematyka,56,2027-05-3
97031785857,Jezyk polski,99,2027-05-1
97031785857,Jezyk angielski,80,2027-05-2
97031785857,Matematyka,98,2027-05-3
97011069595,Jezyk polski,79,2027-05-1
97011069595,Jezyk angielski,77,2027-05-2
97011069595,Matematyka,83,2027-05-3
98013049433,Jezyk polski,80,2027-05-1
98013049433,Jezyk angielski,74,2027-05-2
98013049433,Matematyka,90,2027-05-3
97081623688,Jezyk polski,73,2027-05-1
97081623688,Jezyk angielski,73,2027-05-2
97081623688,Matematyka,89,2027-05-3
93040990969,Jezyk polski,62,2027-05-1
93040990969,Jezyk angielski,61,2027-05-2
93040990969,Matematyka,88,2027-05-3
93111588378,Jezyk polski,83,2027-05-1
93111588378,Jezyk angielski,100,2027-05-2
93111588378,Matematyka,53,2027-05-3
99031408682,Jezyk polski,84,2027-05-1
99031408682,Jezyk angielski,80,2027-05-2
99031408682,Matematyka,90,2027-05-3
96080399671,Jezyk polski,84,2027-05-1
96080399671,Jezyk angielski,64,2027-05-2
96080399671,Matematyka,81,2027-05-3
92112097100,Jezyk polski,77,2027-05-1
92112097100,Jezyk angielski,71,2027-05-2
92112097100,Matematyka,70,2027-05-3
92072417756,Jezyk polski,78,2027-05-1
92072417756,Jezyk angielski,77,2027-05-2
92072417756,Matematyka,55,2027-05-3
99110671200,Jezyk polski,72,2027-05-1
99110671200,Jezyk angielski,81,2027-05-2
99110671200,Matematyka,75,2027-05-3
90061325565,Jezyk polski,93,2027-05-1
90061325565,Jezyk angielski,83,2027-05-2
90061325565,Matematyka,82,2027-05-3
94012511021,Jezyk polski,97,2027-05-1
94012511021,Jezyk angielski,82,2027-05-2
94012511021,Matematyka,96,2027-05-3
91021074202,Jezyk polski,70,2027-05-1
91021074202,Jezyk angielski,89,2027-05-2
91021074202,Matematyka,75,2027-05-3
92011734090,Jezyk polski,87,2027-05-1
92011734090,Jezyk angielski,95,2027-05-2
92011734090,Matematyka,87,2027-05-3
94032159254,Jezyk polski,75,2027-05-1
94032159254,Jezyk angielski,72,2027-05-2
94032159254,Matematyka,86,2027-05-3
96021711410,Jezyk polski,83,2027-05-1
96021711410,Jezyk angielski,92,2027-05-2
96021711410,Matematyka,72,2027-05-3
95071318295,Jezyk polski,74,2027-05-1
95071318295,Jezyk angielski,96,2027-05-2
95071318295,Matematyka,78,2027-05-3
94110996269,Jezyk polski,100,2027-05-1
94110996269,Jezyk angielski,79,2027-05-2
94110996269,Matematyka,88,2027-05-3
92110116029,Jezyk polski,88,2027-05-1
92110116029,Jezyk angielski,37,2027-05-2
92110116029,Matematyka,87,2027-05-3
90122240017,Jezyk polski,26,2027-05-1
90122240017,Jezyk angielski,77,2027-05-2
90122240017,Matematyka,92,2027-05-3
96082793350,Jezyk polski,89,2027-05-1
96082793350,Jezyk angielski,85,2027-05-2
96082793350,Matematyka,52,2027-05-3
98031567818,Jezyk polski,34,2027-05-1
98031567818,Jezyk angielski,81,2027-05-2
98031567818,Matematyka,70,2027-05-3
91090891858,Jezyk polski,72,2027-05-1
91090891858,Jezyk angielski,40,2027-05-2
91090891858,Matematyka,82,2027-05-3
99092447978,Jezyk polski,86,2027-05-1
99092447978,Jezyk angielski,73,2027-05-2
99092447978,Matematyka,74,2027-05-3
97041782022,Jezyk polski,100,2027-05-1
97041782022,Jezyk angielski,83,2027-05-2
97041782022,Matematyka,65,2027-05-3
95070962426,Jezyk polski,71,2027-05-1
95070962426,Jezyk angielski,75,2027-05-2
95070962426,Matematyka,74,2027-05-3
96053059092,Jezyk polski,81,2027-05-1
96053059092,Jezyk angielski,97,2027-05-2
96053059092,Matematyka,73,2027-05-3
90112471935,Jezyk polski,85,2027-05-1
90112471935,Jezyk angielski,56,2027-05-2
90112471935,Matematyka,80,2027-05-3
99032271254,Jezyk polski,83,2027-05-1
99032271254,Jezyk angielski,97,2027-05-2
99032271254,Matematyka,84,2027-05-3
95090222151,Jezyk polski,74,2027-05-1
95090222151,Jezyk angielski,74,2027-05-2
95090222151,Matematyka,82,2027-05-3
90101224045,Jezyk polski,35,2027-05-1
90101224045,Jezyk angielski,71,2027-05-2
90101224045,Matematyka,83,2027-05-3
94072943248,Jezyk polski,76,2027-05-1
94072943248,Jezyk angielski,99,2027-05-2
94072943248,Matematyka,92,2027-05-3
92120737432,Jezyk polski,88,2027-05-1
92120737432,Jezyk angielski,64,2027-05-2
92120737432,Matematyka,74,2027-05-3
94101073784,Jezyk polski,36,2027-05-1
94101073784,Jezyk angielski,83,2027-05-2
94101073784,Matematyka,48,2027-05-3
96041788595,Jezyk polski,62,2027-05-1
96041788595,Jezyk angielski,76,2027-05-2
96041788595,Matematyka,100,2027-05-3
91020172734,Jezyk polski,74,2027-05-1
91020172734,Jezyk angielski,58,2027-05-2
91020172734,Matematyka,70,2027-05-3
97011895589,Jezyk polski,64,2027-05-1
97011895589,Jezyk angielski,85,2027-05-2
97011895589,Matematyka,43,2027-05-3
92083173025,Jezyk polski,83,2027-05-1
92083173025,Jezyk angielski,73,2027-05-2
92083173025,Matematyka,86,2027-05-3
94112606412,Jezyk polski,70,2027-05-1
94112606412,Jezyk angielski,84,2027-05-2
94112606412,Matematyka,74,2027-05-3
93061315228,Jezyk polski,100,2027-05-1
93061315228,Jezyk angielski,86,2027-05-2
93061315228,Matematyka,84,2027-05-3
99060321015,Jezyk polski,84,2027-05-1
99060321015,Jezyk angielski,40,2027-05-2
99060321015,Matematyka,71,2027-05-3
95030204267,Jezyk polski,81,2027-05-1
95030204267,Jezyk angielski,86,2027-05-2
95030204267,Matematyka,74,2027-05-3
97050398353,Jezyk polski,94,2027-05-1
97050398353,Jezyk angielski,61,2027-05-2
97050398353,Matematyka,100,2027-05-3
92090222280,Jezyk polski,25,2027-05-1
92090222280,Jezyk angielski,95,2027-05-2
92090222280,Matematyka,71,2027-05-3
90090664134,Jezyk polski,63,2027-05-1
90090664134,Jezyk angielski,53,2027-05-2
90090664134,Matematyka,89,2027-05-3
92081265542,Jezyk polski,93,2027-05-1
92081265542,Jezyk angielski,85,2027-05-2
92081265542,Matematyka,84,2027-05-3
96061987194,Jezyk polski,61,2027-05-1
96061987194,Jezyk angielski,85,2027-05-2
96061987194,Matematyka,81,2027-05-3
96080341968,Jezyk polski,83,2027-05-1
96080341968,Jezyk angielski,88,2027-05-2
96080341968,Matematyka,34,2027-05-3
94112810376,Jezyk polski,68,2027-05-1
94112810376,Jezyk angielski,88,2027-05-2
94112810376,Matematyka,74,2027-05-3
96030548162,Jezyk polski,81,2027-05-1
96030548162,Jezyk angielski,81,2027-05-2
96030548162,Matematyka,70,2027-05-3
98031799820,Jezyk polski,89,2027-05-1
98031799820,Jezyk angielski,72,2027-05-2
98031799820,Matematyka,44,2027-05-3
93061758733,Jezyk polski,88,2027-05-1
93061758733,Jezyk angielski,80,2027-05-2
93061758733,Matematyka,27,2027-05-3
96031028320,Jezyk polski,87,2027-05-1
96031028320,Jezyk angielski,88,2027-05-2
96031028320,Matematyka,79,2027-05-3
97061545724,Jezyk polski,82,2027-05-1
97061545724,Jezyk angielski,88,2027-05-2
97061545724,Matematyka,81,2027-05-3
92073168859,Jezyk polski,95,2027-05-1
92073168859,Jezyk angielski,83,2027-05-2
92073168859,Matematyka,70,2027-05-3
97080960436,Jezyk polski,86,2027-05-1
97080960436,Jezyk angielski,73,2027-05-2
97080960436,Matematyka,71,2027-05-3
95112542137,Jezyk polski,62,2027-05-1
95112542137,Jezyk angielski,97,2027-05-2
95112542137,Matematyka,95,2027-05-3
92083017734,Jezyk polski,45,2027-05-1
92083017734,Jezyk angielski,76,2027-05-2
92083017734,Matematyka,80,2027-05-3
94112123960,Jezyk polski,87,2027-05-1
94112123960,Jezyk angielski,77,2027-05-2
94112123960,Matematyka,71,2027-05-3
98041785572,Jezyk polski,87,2027-05-1
98041785572,Jezyk angielski,69,2027-05-2
98041785572,Matematyka,85,2027-05-3
91071680598,Jezyk polski,100,2027-05-1
91071680598,Jezyk angielski,49,2027-05-2
91071680598,Matematyka,77,2027-05-3
96012213347,Jezyk polski,87,2027-05-1
96012213347,Jezyk angielski,86,2027-05-2
96012213347,Matematyka,86,2027-05-3
95102121834,Jezyk polski,35,2027-05-1
95102121834,Jezyk angielski,95,2027-05-2
95102121834,Matematyka,83,2027-05-3
91030178427,Jezyk polski,80,2027-05-1
91030178427,Jezyk angielski,98,2027-05-2
91030178427,Matematyka,83,2027-05-3
96010318716,Jezyk polski,87,2027-05-1
96010318716,Jezyk angielski,15,2027-05-2
96010318716,Matematyka,86,2027-05-3
92011708484,Jezyk polski,100,2027-05-1
92011708484,Jezyk angielski,83,2027-05-2
92011708484,Matematyka,70,2027-05-3
97122148123,Jezyk polski,85,2027-05-1
97122148123,Jezyk angielski,41,2027-05-2
97122148123,Matematyka,77,2027-05-3
91081310078,Jezyk polski,46,2027-05-1
91081310078,Jezyk angielski,39,2027-05-2
91081310078,Matematyka,79,2027-05-3
91121905970,Jezyk polski,80,2027-05-1
91121905970,Jezyk angielski,87,2027-05-2
91121905970,Matematyka,99,2027-05-3
98011162776,Jezyk polski,86,2027-05-1
98011162776,Jezyk angielski,79,2027-05-2
98011162776,Matematyka,97,2027-05-3
97061612613,Jezyk polski,31,2027-05-1
97061612613,Jezyk angielski,85,2027-05-2
97061612613,Matematyka,58,2027-05-3
96031320668,Jezyk polski,100,2027-05-1
96031320668,Jezyk angielski,95,2027-05-2
96031320668,Matematyka,80,2027-05-3
90070273334,Jezyk polski,58,2027-05-1
90070273334,Jezyk angielski,77,2027-05-2
90070273334,Matematyka,83,2027-05-3
90040267264,Jezyk polski,98,2027-05-1
90040267264,Jezyk angielski,84,2027-05-2
90040267264,Matematyka,63,2027-05-3
98122820743,Jezyk polski,37,2027-05-1
98122820743,Jezyk angielski,61,2027-05-2
98122820743,Matematyka,94,2027-05-3
94091363900,Jezyk polski,62,2027-05-1
94091363900,Jezyk angielski,75,2027-05-2
94091363900,Matematyka,75,2027-05-3
90052749424,Jezyk polski,38,2027-05-1
90052749424,Jezyk angielski,80,2027-05-2
90052749424,Matematyka,40,2027-05-3
90110298349,Jezyk polski,71,2027-05-1
90110298349,Jezyk angielski,72,2027-05-2
90110298349,Matematyka,99,2027-05-3
98051198348,Jezyk polski,84,2027-05-1
98051198348,Jezyk angielski,100,2027-05-2
98051198348,Matematyka,88,2027-05-3
96111407308,Jezyk polski,98,2027-05-1
96111407308,Jezyk angielski,100,2027-05-2
96111407308,Matematyka,54,2027-05-3
99031491224,Jezyk polski,70,2027-05-1
99031491224,Jezyk angielski,20,2027-05-2
99031491224,Matematyka,71,2027-05-3
94051681161,Jezyk polski,81,2027-05-1
94051681161,Jezyk angielski,100,2027-05-2
94051681161,Matematyka,59,2027-05-3
99061350685,Jezyk polski,76,2027-05-1
99061350685,Jezyk angielski,92,2027-05-2
99061350685,Matematyka,100,2027-05-3
99021711268,Jezyk polski,74,2027-05-1
99021711268,Jezyk angielski,72,2027-05-2
99021711268,Matematyka,100,2027-05-3
99091911269,Jezyk polski,74,2027-05-1
99091911269,Jezyk angielski,29,2027-05-2
99091911269,Matematyka,70,2027-05-3
97041783108,Jezyk polski,72,2027-05-1
